,,Shots,ShotsOT,KeyPasses,Dribbles,Fouled,Offsides,Disp,UnsTouches,TotalTackles,Interceptions,Clearances,BlockedShots,Fouls,keypasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,goals,assists,cards,performance
Neto,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,60.6,0,0,18,5,0,0,,,,7.18
2,,1,1,0,0,1,0,0,1,2,0,4,2,2,0,52,94.2,1,0,1,0,0,0,,,,8.1
"Sergi Roberto28, DR ",,,,,,,,,,,,,,,,,,,,,,,,1,,,
3,,0,0,0,1,0,0,0,0,1,0,0,0,2,0,41,80.5,0,0,8,4,0,0,,,,5.39
"Clément Lenglet25, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,2,
4,,0,0,0,0,0,0,0,1,1,2,3,0,0,0,42,81,0,0,5,3,0,0,,,,6.86
"Gerard Piqué33, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,1,
5,,0,0,0,0,1,1,2,2,0,1,1,0,0,0,64,84.4,0,0,9,4,0,0,,,,6.53
"Jordi Alba31, DL ",,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,,0,0,1,3,3,0,0,1,1,2,0,0,0,1,54,92.6,1,0,2,2,0,0,,,,7.71
"Frenkie de Jong23, DMC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,0,0,0,3,0,0,1,0,4,2,1,3,0,75,88,0,0,5,3,0,0,,,,7.05
"Sergio Busquets32, DMC ",,,,,,,,,,,,,,,,,,,,,,,,,,1,
8,,1,0,0,0,1,0,0,2,1,0,0,0,0,0,21,90.5,0,0,1,1,0,0,,,,6.26
"Antoine Griezmann29, AMR  (45′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2,1,1,1,2,0,0,3,2,0,1,0,0,1,49,91.8,2,0,1,1,0,0,,,,7.59
"Philippe Coutinho28, AMC  (71′)",,,,,,,,,,,,,,,,,,,,,,,,,1,,
10,,1,1,0,4,3,0,1,2,2,0,0,0,1,0,38,81.6,1,1,0,0,1,0,,,,8.34
"Ansu Fati17, AML   (71′)",,,,,,,,,,,,,,,,,,,,,,,,1,,,
11,,2,1,2,2,5,1,3,3,0,0,0,0,2,2,65,92.3,6,0,3,3,0,0,,,,7.22
"Lionel Messi33, FW ",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,50,0,0,0,0,0,0,,,,6.05
"Trincão20, Sub  (71′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0,0,0,0,1,0,1,0,0,0,2,2,0,0,12,66.7,0,0,4,0,0,0,,,,6.47
"Ronald Araújo21, Sub  (45′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,77.8,0,0,0,0,0,0,,,,6.25
"Pedri17, Sub  (71′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,90.5,0,0,7,5,0,0,,,,6.41
2,,0,0,2,1,2,0,0,0,4,1,0,0,0,2,63,88.9,0,0,2,1,0,0,,,,7.57
"Sergi Roberto28, DR  (61′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1,0,0,0,0,0,1,0,1,4,6,0,0,0,72,95.8,0,0,1,1,0,0,,,,7.13
"Clément Lenglet25, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0,0,0,0,0,0,0,0,2,1,1,0,2,0,60,93.3,0,0,5,4,0,0,,,,5.85
"Gerard Piqué33, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,1,
5,,1,0,0,0,1,0,0,1,3,0,0,0,0,0,65,90.8,2,0,1,1,0,0,,,,6.75
"Sergiño Dest19, DL ",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0,0,2,0,1,0,0,0,1,2,0,0,2,2,86,91.9,0,0,3,1,0,0,,,,6.76
"Miralem Pjanic30, DMC  (75′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,0,1,1,1,0,0,1,1,3,0,0,0,1,79,93.7,1,0,3,0,1,1,,,,7.76
"Frenkie de Jong23, DMC ",,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,,4,1,1,1,2,0,1,0,2,0,0,0,1,1,42,85.7,2,0,0,0,0,0,,,,7.11
"Trincão20, AMR  (62′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,3,1,2,1,1,0,0,1,0,0,0,0,0,2,59,79.7,1,1,3,3,1,0,,,,7.8
"Philippe Coutinho28, AMC  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,3,3,2,0,1,0,2,1,1,1,0,0,1,2,41,90.2,0,0,1,1,0,0,,,,8.47
"Ansu Fati17, AML  (61′)",,,,,,,,,,,,,,,,,,,,,,,,1,1,,
11,,7,4,4,7,4,1,5,1,1,0,0,0,0,4,59,88.1,1,0,0,0,0,0,,,,10
"Lionel Messi33, FW  ",,,,,,,,,,,,,,,,,,,,,,,,1,1,,
12,,2,1,1,1,0,1,0,0,0,1,0,0,0,1,18,72.2,0,0,0,0,0,0,,,,7.71
"Ousmane Dembélé23, Sub  (62′)",,,,,,,,,,,,,,,,,,,,,,,,1,1,,
13,,0,0,0,0,1,0,0,0,2,0,0,0,1,0,20,90,0,0,0,0,0,0,,,,6.38
"Junior Firpo24, Sub  (61′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19,100,0,0,0,0,0,0,,,,6.34
"Sergio Busquets32, Sub  (75′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,92.3,0,0,2,1,0,0,,,,6.24
"Ronald Araújo21, Sub  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1,1,0,0,1,0,0,0,2,0,0,0,0,0,17,88.2,0,0,1,1,0,0,,,,7.4
"Pedri17, Sub  (61′)",,,,,,,,,,,,,,,,,,,,,,,,1,,,
2,,1,0,0,0,0,0,1,0,4,4,0,1,4,0,58,84.5,0,0,10,4,0,0,,,,7.25
"Danilo29, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,0,0,0,0,0,1,0,0,1,0,2,0,0,0,57,87.7,0,0,6,3,0,0,,,,6.79
"Leonardo Bonucci33, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0,0,0,0,1,0,0,0,3,0,2,1,3,0,46,91.3,0,0,5,3,0,0,,,,7.15
"Matthijs de Ligt21, DC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0,0,2,1,1,0,2,2,2,1,1,0,1,2,46,84.8,6,3,5,3,0,0,,1,,7.73
"Juan Cuadrado32, DMR  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1,0,2,1,2,0,1,0,4,5,2,1,1,2,45,75.6,4,2,4,2,0,0,,,,8.45
"Alex Sandro29, DML  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0,0,0,1,0,0,1,0,4,0,1,0,0,0,52,90.4,0,0,2,2,0,0,,,,7.27
"Arthur24, MC  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1,1,1,1,0,0,2,1,1,0,0,0,1,1,25,88,0,0,3,1,0,0,1,,,7.5
"Weston McKennie22, MC ",,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1,0,0,0,0,0,1,4,3,4,0,0,3,0,41,80.5,0,0,5,3,0,0,,,,7.02
"Aaron Ramsey29, MC  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,1,
10,,4,3,1,0,1,0,0,0,0,1,0,0,0,1,42,85.7,0,0,2,1,0,0,,,,8.29
"Cristiano Ronaldo35, FW  (91′)",,,,,,,,,,,,,,,,,,,,,,,,2,,,
11,,1,0,1,1,3,0,4,2,0,1,0,0,1,1,24,70.8,2,0,2,1,0,0,,,,6.81
"Álvaro Morata28, FW  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,1,
12,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,75,0,0,1,1,0,0,,,,5.99
"Paulo Dybala27, Sub  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0,0,0,0,0,0,0,0,1,1,0,0,1,0,8,62.5,0,0,0,0,0,0,,,,6.53
"Adrien Rabiot25, Sub  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,100,0,0,0,0,0,0,,,,6.11
"Federico Bernardeschi26, Sub  (84′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,6.03
"Federico Chiesa23, Sub  (91′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0,0,0,0,1,0,0,1,2,0,0,0,0,0,6,66.7,0,0,5,3,0,0,,,,6.25
"Rodrigo Bentancur23, Sub  (70′)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.25,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.79,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.15,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.73,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.27,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,7.02,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,8.29,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.81,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,5.99,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.53,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.11,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.25,,,